Food science studies the {{c1::production}}, {{c2::processing, preparing}}, {{c3::evaluating, and use}} of food.	FNH200::Lesson01
The food industry's job from farm gate to plate is to keep food {{c1::safe}}, {{c2::nutritious}}, and {{c3::tasty}}.	FNH200::Lesson01
The five sub-fields of food science are {{c1::food chemistry}}, {{c2::food analysis}}, {{c3::food microbiology}}, {{c4::food processing}}, and {{c5::food engineering}}.	FNH200::Lesson01
Matching the sub-fields: structure, composition and properties of foods = {{c1::food chemistry}}; roles of micro-organisms in food borne illness and fermentation = {{c2::food microbiology}}; thermodynamics and energy transfer during processing = {{c3::food engineering}}.	FNH200::Lesson01
A statue of {{c1::Francois Nicolas Appert}} is placed outside the headquarters of the {{c2::Institute of Food Technologists (IFT)}} to recognize his invention of {{c3::canning}}.	FNH200::Lesson01
IFT-approved Food Science programs must cover {{c1::55}} essential learning outcomes (ELOs), and IFT also publishes an annual {{c2::Top Ten Food Trends}} list.	FNH200::Lesson01
The major cereal-grain-producing provinces of Canada are {{c1::Alberta}}, {{c2::Saskatchewan}}, and {{c3::Manitoba}}.	FNH200::Lesson01
Apples in BC are typically harvested in {{c1::October}}, and normal air contains about {{c2::21}}% oxygen.	FNH200::Lesson01
Controlled atmosphere storage controls {{c1::temperature}}, {{c2::humidity}}, {{c3::oxygen}}, and {{c4::carbon dioxide}} - the answer is "all of the above".	FNH200::Lesson01
In apple cider production, {{c1::yeast}} is added to apple juice and yields {{c2::ethanol}}; the confusable pairing, {{c3::bacterial culture}} plus acetic acid, gives vinegar instead.	FNH200::Lesson01
An example of a value-added product made from apple juice waste is {{c1::pectin}}, which acts as the {{c2::gelling}} agent in jams and jellies.	FNH200::Lesson01
Lesson 01 summary: Canada offers a {{c1::vast and diverse}} food system; the Canadian food industry has a strong impact on {{c2::Canada's economy}}; and {{c3::consumers and consumer demands}} strongly influence food consumption trends.	FNH200::Lesson01
Sucrose = {{c1::glucose + fructose}} (digested by invertase); lactose = {{c2::glucose + galactose}} (digested by lactase); maltose = {{c3::glucose + glucose}} (digested by maltase).	FNH200::Lesson02
Table 2.2 sweetness index: sucrose = {{c1::100}} (the benchmark), fructose (levulose) = {{c2::140}}, glucose (dextrose) = {{c3::70-80}}.	FNH200::Lesson02
Table 2.2 sweetness index: galactose = {{c1::60}}, maltose = {{c2::20}}, lactose = {{c3::10-20}}.	FNH200::Lesson02
Table 2.2 sweetness index: invert sugar = {{c1::100-130}}, corn syrup = {{c2::50}}, sorbitol = 50, xylitol = {{c3::100}}.	FNH200::Lesson02
High fructose corn syrups: 42% fructose = {{c1::100}}, 55% fructose = {{c2::100+}}, 90% fructose = {{c3::120-160}}.	FNH200::Lesson02
HFCS pathway: starch (not sweet) -> {{c1::amylase or acid}} -> maltose (slightly sweet) -> {{c2::maltase}} -> glucose (sweet) -> {{c3::glucose isomerase}} -> fructose (very sweet).	FNH200::Lesson02
Table 2.1: solid in liquid = {{c1::sol}}; liquid in liquid = {{c2::emulsion}}; liquid in solid = {{c3::solid emulsion}}.	FNH200::Lesson02
Table 2.1: liquid in a solid network = {{c1::gel}}; gas in liquid = {{c2::foam}}; gas in solid = {{c3::solid foam}}.	FNH200::Lesson02
The seven roles of fat are {{c1::aerate}}, {{c2::carry aroma}}, emulsify, lubricate, soften, tenderize and {{c3::withstand high temperature}}.	FNH200::Lesson02
